"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7677","Invalid Login Test invalid_user","chromium","2026-01-01","passed","2026-01-01","","login_negativeTesting.spec.ts","",""
"","6878","Invalid Login Test","chromium","2026-01-01","passed","2026-01-01","","login_negativeTesting.spec.ts","",""
"","6590","Valid Login Test","chromium","2026-01-01","failed","2026-01-01","Sauce Labs Login Tests","sauce_labs.spec.ts","",""
"","2391","Invalid Login Test standard_user","chromium","2026-01-01","passed","2026-01-01","","login_negativeTesting.spec.ts","",""
"","7635","Invalid Login Test locked_out_user","chromium","2026-01-01","passed","2026-01-01","","login_negativeTesting.spec.ts","",""
"","4788","Login Test standard_user","chromium","2026-01-01","passed","2026-01-01","Sauce Labs Negative Login Tests","login_negativeTesting.spec.ts","",""
"","9873","Login Test invalid_user","chromium","2026-01-01","passed","2026-01-01","Sauce Labs Negative Login Tests","login_negativeTesting.spec.ts","",""
"","9869","Login Test locked_out_user","chromium","2026-01-01","passed","2026-01-01","Sauce Labs Negative Login Tests","login_negativeTesting.spec.ts","",""
